Región;Latitud;Longitud;Edad;CAR;MODULO;PT;PTE;PP;UDD;UDA;TF;TIE;CF;MF;AF;FD;CERA;CEER;CEAD;CEMT;CEAG;IE
HUANCAVELICA;-12.7826099;-74.9726562;19;PA;3;14.4;14.1;14.2;0;10;1;1;15;11;13;39;75.75;93.17;83.68;86.84;96.72;82.79
LIMA;-12.0431805;-77.0282364;16;AS;1;13.7;12.7;13.2;1;7;1;1;12;7;7;26;60.75;61.98;79.26;76.93;79.48;65.32
LIMA;-12.0431805;-77.0282364;17;AS;1;17.4;16.5;17.0;0;8;1;1;12;8;6;26;62.42;76.83;79.26;88.25;74.31;71.25
LIMA;-12.0431805;-77.0282364;21;AS;2;13.3;12.8;13.0;2;6;1;1;15;8;13;36;68.25;73.86;77.79;91.08;81.21;72.90
LIMA;-12.0431805;-77.0282364;18;PA;1;14.9;15.5;15.2;0;10;1;1;11;9;9;29;75.75;103.56;82.21;81.18;93.28;83.12
LIMA;-12.0431805;-77.0282364;18;AS;1;13.1;12.2;12.6;2;6;1;1;14;13;13;40;64.08;78.32;70.44;75.52;93.28;70.92
AYACUCHO;-13.1587801;-74.2232132;19;PA;3;15.4;14.9;15.2;0;10;1;1;13;11;10;34;77.42;81.29;92.50;88.25;91.55;83.78
PIURA;-5.19449;-80.6328201;19;PA;3;14.8;13.7;14.2;1;9;1;1;16;12;14;42;76.58;105.05;92.50;91.08;112.24;89.05
LIMA;-12.0431805;-77.0282364;20;AS;3;14.0;13.7;13.8;0;9;1;1;10;11;9;30;78.25;99.11;98.38;88.25;100.17;87.74
LIMA;-12.0431805;-77.0282364;19;AS;1;12.0;11.3;11.6;4;4;1;1;11;9;7;27;68.25;91.68;77.79;103.82;95.00;80.48
HUANCAVELICA;-12.7826099;-74.9726562;19;PA;3;14.4;13.5;14.0;0;10;1;1;13;11;16;40;74.92;79.80;76.32;85.42;96.72;77.19
LIMA;-12.0431805;-77.0282364;20;PA;3;15.2;14.9;15.1;0;10;1;1;15;11;11;37;66.58;85.74;93.97;84.01;89.83;78.18
LIMA;-12.0431805;-77.0282364;16;PA;1;12.6;12.4;12.5;3;7;1;1;14;7;8;29;74.08;90.20;79.26;88.25;84.66;78.51
